City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,ormara,25.2088,64.6357,83.82,82,88,9.24,PK,1689919897
128,sebastopol,44.6,33.5333,79.0,49,78,1.01,UA,1689919952
129,punta arenas,-53.15,-70.9167,29.73,95,100,14.14,CL,1689919953
130,kitakami,39.2833,141.1167,79.03,73,78,6.08,JP,1689919953
131,dwarka,22.2394,68.9678,84.38,80,99,13.89,IN,1689919954
132,pedro ii,-4.4247,-41.4586,66.24,55,0,8.9,BR,1689919787
133,geraldton,-28.7667,114.6,66.61,52,2,8.05,AU,1689919954
134,kerikeri,-35.2268,173.9474,54.91,87,86,1.99,NZ,1689919955
135,gulf shores,30.246,-87.7008,85.05,76,0,3.44,US,1689919800
136,anloga,5.7947,0.8973,76.8,89,82,13.15,GH,1689919956
137,mezhova,48.2532,36.7347,71.26,76,85,9.78,UA,1689919956
138,zemio,5.0314,25.1361,72.27,95,98,1.16,CF,1689919957
139,malanje,-9.5402,16.341,62.62,59,51,1.34,AO,1689919957
140,howick,-29.4779,30.2306,43.99,83,97,2.66,ZA,1689919958
141,iskateley,67.6803,53.1512,69.44,73,99,13.18,RU,1689919958
142,san justo,-30.7891,-60.5919,55.98,91,99,5.99,AR,1689919959
143,zalari,53.5584,102.5065,76.71,43,22,8.39,RU,1689919959
144,uturoa,-16.7333,-151.4333,75.87,64,28,19.17,PF,1689919815
145,pimentel,-6.8367,-79.9342,70.09,88,75,8.05,PE,1689919960
146,belyy yar,53.6039,91.3903,69.69,83,0,6.71,RU,1689919798
147,pathein,16.7833,94.7333,88.66,64,55,9.93,MM,1689919961
148,utrik,11.2278,169.8474,83.14,80,27,20.29,MH,1689919668
149,bubaque,11.2833,-15.8333,82.17,81,79,12.21,GW,1689919816
150,abu jibeha,11.4562,31.2285,78.76,70,59,9.66,SD,1689919962
151,todos santos,23.45,-110.2167,79.66,79,26,7.65,MX,1689919841
152,port alfred,-33.5906,26.891,52.18,75,74,4.0,ZA,1689919963
153,sarangani,5.4033,125.4636,83.79,74,97,11.43,PH,1689919963
154,merowe,18.4833,31.8167,100.69,10,87,4.63,SD,1689919964
155,gospic,44.5461,15.3747,74.89,67,6,3.49,HR,1689919964
156,dubbo,-32.25,148.6167,57.33,58,75,11.5,AU,1689919965
157,namibe,-15.1961,12.1522,61.88,89,3,4.65,AO,1689919965
158,sumbe,-11.2061,13.8437,68.07,85,66,2.68,AO,1689919966
159,san carlos,9.6612,-68.5827,72.03,97,93,2.55,VE,1689919966
160,mount gambier,-37.8333,140.7667,54.07,74,89,7.09,AU,1689919966
161,sao tome,0.3365,6.7273,75.43,76,93,7.9,ST,1689919967
162,fort bragg,35.139,-79.006,77.58,89,100,9.22,US,1689919879
163,blackmans bay,-43.0167,147.3167,53.73,61,28,3.38,AU,1689919968
164,megion,61.0296,76.1136,73.42,75,100,7.52,RU,1689919968
165,taro,-8.3862,115.28,75.2,53,46,5.03,ID,1689919969
166,kamaishi,39.2667,141.8833,72.9,79,66,4.0,JP,1689919969
167,constantia,44.1833,28.65,79.7,65,11,12.24,RO,1689919763
168,ribeira brava,32.65,-17.0667,72.23,81,5,4.5,PT,1689919970
169,imbituba,-28.24,-48.6703,65.86,95,100,11.92,BR,1689919970
170,fortuna,40.5982,-124.1573,59.94,93,100,3.44,US,1689919732
171,miri,4.4148,114.0089,75.54,92,100,8.3,MY,1689919971
172,itaituba,-4.2761,-55.9836,71.74,64,17,1.23,BR,1689919972
173,vilyuysk,63.7553,121.6247,73.99,47,88,3.0,RU,1689919972
174,wingham,43.8879,-81.3114,66.27,93,62,9.4,CA,1689919973
175,tura,25.5198,90.2201,84.61,81,100,2.95,IN,1689919973
176,charters towers,-20.1,146.2667,75.51,36,61,10.49,AU,1689919974
177,lompoc,34.6391,-120.4579,59.14,95,100,6.91,US,1689919679
178,qianzhou,28.3167,109.7167,93.09,59,72,7.54,CN,1689919975
179,tateyama,34.9833,139.8667,79.88,75,40,6.87,JP,1689919975
180,mwene-ditu,-7.0,23.45,72.75,35,18,3.74,CD,1689919976
181,puerto ayora,-0.7393,-90.3518,76.55,94,36,5.99,EC,1689919976
182,ilulissat,69.2167,-51.1,44.62,87,75,0.0,GL,1689919976
183,san andres,12.5847,-81.7006,82.76,86,100,21.23,CO,1689919681
184,takoradi,4.8845,-1.7554,74.75,93,87,6.26,GH,1689919977
185,mogadishu,2.0371,45.3438,79.23,83,86,21.47,SO,1689919978
186,howard springs,-12.497,131.047,87.82,29,14,3.91,AU,1689919978
187,san patricio,28.017,-97.5169,83.86,82,6,11.3,US,1689919811
188,island harbour,50.724,-1.2758,56.93,88,41,1.01,GB,1689919883
189,ebon,4.582,168.6964,82.65,81,99,11.83,MH,1689919980
190,benghazi,32.1167,20.0667,82.72,65,0,6.35,LY,1689919980
191,villa gesell,-37.2639,-56.973,53.06,92,71,11.65,AR,1689919981
192,tuchow,49.8949,21.0541,63.64,65,91,3.49,PL,1689919981
193,plainview,40.7765,-73.4673,75.45,88,0,5.75,US,1689919929
194,aioun,16.6614,-9.6149,86.22,51,50,18.86,MR,1689919982
195,la'ie,21.6477,-157.9253,80.56,78,26,8.99,US,1689919982
196,ostersund,63.1792,14.6357,50.61,34,100,17.27,SE,1689919983
197,susuman,62.7833,148.1667,84.99,33,21,11.86,RU,1689919983
198,lihue,21.9789,-159.3672,81.64,76,75,17.27,US,1689919695
199,saipan,15.1355,145.701,88.5,100,20,10.36,MP,1689919984
200,sydney,-33.8679,151.2073,65.61,62,75,13.8,AU,1689919700
201,faya-largeau,17.9257,19.1043,90.95,35,68,10.0,TD,1689919985
202,sal rei,16.1833,-22.9167,77.92,84,66,13.67,CV,1689919986
203,bamboo flat,11.7,92.7167,84.29,84,75,12.66,IN,1689919986
204,ramshir,30.8946,49.4092,103.86,5,0,6.2,IR,1689919987
205,alfredo v. bonfil,21.0833,-86.85,80.55,88,40,5.01,MX,1689919987
206,kawm umbu,24.4767,32.9463,98.87,15,2,8.86,EG,1689919988
207,afaahiti,-17.75,-149.2833,71.47,66,28,19.77,PF,1689919689
208,korla,41.7597,86.1469,98.82,13,60,7.94,CN,1689919989
209,tchibanga,-2.85,11.0333,66.24,91,83,1.25,GA,1689919989
210,arraial do cabo,-22.9661,-42.0278,69.4,66,100,16.13,BR,1689919755
211,kunszentmarton,46.8392,20.2888,76.98,96,81,6.08,HU,1689919990
212,alofi,-19.0595,-169.9187,76.19,84,100,25.84,NU,1689919800
213,saint-mandrier-sur-mer,43.078,5.929,76.86,70,0,1.99,FR,1689919991
214,belmonte,-15.8631,-38.8828,71.01,89,65,9.28,BR,1689919992
215,nova sintra,14.8667,-24.7167,73.9,84,11,7.49,CV,1689919992
216,tabalah,19.95,42.4,90.64,6,59,16.91,SA,1689919993
217,khandyga,62.6667,135.6,58.89,91,100,9.1,RU,1689919940
218,terenozek,45.05,64.9833,93.7,21,0,11.61,KZ,1689919994
